	overall	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
TYY1.H14CORE.0.PSM.A	4.296376663337874	5.3335149305252125	3.021000426304623	3.422702359025599	0.2945757153923139	7.809409722947028	0.6258937596267893
MBNL2.H14CORE.0.B.B	1.3238821815369273	2.4097458075790006	0.9794730427676298	0.6102759821910068	0.4202360530692317	1.7761808794971035	0.21421543703311027
RBAK.H14CORE.0.P.C	3.920920671253309	8.142623832582242	0.3733093076069526	1.8326690470659721	0.985626642797855	4.633364219999109	0.0427905743369468
MBD1.H14CORE.0.PSIB.A	6.682295757031625	2.490072673909937	0.4594897910548124	0.6730415865694193	1.1685137861842374	15.662610129833906	3.7909235276236197
MYB.H14CORE.0.P.B	3.307509386061165	1.2819054094273323	2.634257718110876	0.1356538874265358	2.1214883190125216	6.633854550400461	2.9202695027002274
ZN75D.H14CORE.0.P.B	3.272209115913459	6.979329901345671	1.662715074306209	2.0375847509079836	2.395541017562954	0.0038168319680974587	1.6964859997342738
ZFP90.H14CORE.0.P.C	3.0402227614625965	4.070914442164361	0.5334442358972455	1.681595141577304	1.3327249503817655	5.697347746305225	1.2398105225321534
FOXJ2.H14CORE.1.SM.B	2.225408257344997	1.6846550851218618	1.3960447565349878	1.855969687893232	0.41377987627989904	4.250572527722422	1.8012339301875018
ZN266.H14CORE.0.P.B	0.43696606680149785	0.14865859433900033	0.11136219023415272	0.6927899316410943	0.6069440328288517	0.3446431820823783	0.37949608009245855
ZN362.H14CORE.0.PSGI.A	2.4877370421538147	1.875609786315213	3.7642059110370782	0.6805609527277504	2.3179257505938518	3.65651403517344	0.4897115979362413
ZN793.H14CORE.0.P.B	3.5048798630825138	7.244793370982053	1.8396541321616118	0.7759438221132102	1.468375521991729	3.8770223304818763	0.21028831143872823
ZN875.H14CORE.0.P.C	6.332774727684858	0.8633527909512135	0.7676736940085124	0.7527468929472724	0.14934043736345276	14.595326675613547	5.067249978889747
ZN121.H14CORE.0.P.B	3.212521350113304	1.4905755939764376	4.935655882839109	0.27780527530131266	3.698282214269437	4.426535477287485	1.4108729621722442
SUH.H14CORE.0.P.B	1.9804720726884257	3.7681573285109597	1.0351205066329512	1.7999621783170612	1.934061182492303	0.6532214335386858	0.9251912917338015
