	mean
TSPAN17	1.1395953197048405
NOP16	-1.3061513370941493
CC2D2A	1.1116826078722668
RRM2B	-0.14560465760965816
ZNF800	-0.10962781767347328
SNX29	0.512052146313958
LMO3	2.3230947429948428
MRPS10	1.541855593721896
GUCA1A	-4.065024694892107
RSF1	1.4794357497125896
VPS13D	1.053347128417954
CELF2	1.8238232463474737
FAM120A	1.4873895508472355
R3HDM1	2.5561336172705675
COL9A2	1.3433350956780326
KITLG	2.2828683420495244
ERCC8	0.5827967792387588
ADAMTS6	-3.433034969814183
H6PD	-0.583655534140608
VAMP3	1.190411967861018
PER3	1.5652391681728275
EPN3	-1.674570389226888
LTBP1	0.07549910851494904
RCN1	2.8805683766685424
ELN	1.7999307413199999
RFC2	0.4735624893295181
ARID1B	1.3185130272992411
CLPTM1L	2.3866771792093324
NEDD4L	0.7611014635485193
PPP1R3F	-2.9386712141796876
HEXB	0.26112979638985684
PTCD2	-1.9031628353522996
JKAMP	1.38543615899595
DKK3	-1.7776526613568937
ARHGEF5	-2.824616776997907
NFE2L3	-0.6425154174851083
MCUR1	2.61597423362786
LIMA1	1.8544329271230022
LETMD1	1.3400888962446686
SLC4A8	1.545742279139647
PTGER3	-3.502049699815032
MAPK9	0.9108102263600579
BCAR1	0.5993398915429022
HERPUD1	0.6990666838428634
HOMER3	-2.033133648678789
RAD51	-1.147403156526212
POLQ	1.4273006025043034
PIK3CB	-0.053083381261009345
CYBA	2.5135886066673225
THOC3	0.6745168792179637
HEBP2	2.739234044251025
MPHOSPH9	0.6542105805377993
PLEKHA5	-0.19550284368202575
PRSS8	0.4021335923638696
SIKE1	0.8334025850913245
RRP12	-0.48516131965930326
FNIP2	-0.9806500158109496
MSMO1	-0.31568931514641485
TTC17	1.2574325426844173
ALX4	-2.8243956379107646
FSTL4	0.15285581082296026
FOXN3	1.9895031591984904
AKR7A2	0.9054211493698189
MRTO4	0.910687028079036
NNAT	0.39103138128505255
USE1	-0.6375553362205566
MCF2L2	-1.2383547656743341
NRIP2	-0.5869062591059029
LAMA3	-0.3711690474834945
AP5M1	2.0158913869123114
ANAPC4	-1.73246789542445
KCNQ1	-1.4141326303890196
TRAPPC3	0.7169934766750611
THRAP3	2.234044247498146
PHPT1	0.4083724177301964
ENTPD2	0.03060056691593727
ARID4B	0.2366189578656108
OPN3	-1.1098059623870327
SDCCAG8	0.17877617956342157
PTPRN	-2.0202384334422963
HHAT	0.842529633300227
KIF1B	0.05997055929128915
FOXC1	-1.497730849081438
TBC1D22A	2.446978118871272
SYNE2	4.630719850857902
PLEKHH1	0.9283332151319758
ATP9A	1.4209339530829226
FAM168A	3.753342587581423
RELT	1.8567994224781437
GALC	-2.0388003749783454
NOP58	0.15641745739702426
SZRD1	0.9048274357933421
KCNH2	1.3661761395426295
CUL1	-0.3304244359189044
FAM114A2	-1.9206724719902948
CYFIP2	2.031243049684294
TAB2	2.057055819364806
GINM1	2.5005020876550574
EIF2AK2	2.034014079507448
USP36	0.374329034164467
KMT2C	0.5774670805137259
MCOLN3	0.3402967722480656
CCDC85A	-1.1569329164747941
PUM2	0.5649865686390086
MRPL43	0.29956533969765753
ZFR	0.4444694734023611
ZNF280C	-0.34516314409873144
NPFFR2	-4.259855991369764
PHF21B	-1.7084032621019172
TRAF1	-1.3762447263962407
RC3H2	1.1920846830040588
IL17RB	1.114384472675782
TRAF3IP2	1.2426841478946047
GYG2	-3.9345645373740243
DCBLD2	1.752271596149515
SOAT1	-0.48520416713087267
PKP2	0.8482250970299308
GDI2	1.1725301443474012
ATG5	-0.2800030828447413
TMCC3	-0.7198135211352897
PITHD1	1.808687559881622
MTA3	0.6597532407494113
USP13	0.919125282077756
